SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
219772,1.0000,0.0007,0.0003,0.0000,0.0016,0.0009,0.3288
220105,1.0000,0.0008,0.0004,0.0000,0.0013,0.0008,0.3291
220438,1.0000,0.0007,0.0003,0.0000,0.0017,0.0011,0.3296
220772,1.0000,0.0008,0.0004,0.0000,0.0014,0.0006,0.3291
221105,1.0000,0.0008,0.0003,0.0000,0.0015,0.0007,0.3291
221438,1.0000,0.0007,0.0004,0.0000,0.0015,0.0009,0.3288
221772,1.0000,0.0007,0.0004,0.0000,0.0014,0.0010,0.3296
222105,1.0000,0.0007,0.0003,0.0001,0.0020,0.0012,0.3295
222438,1.0000,0.0007,0.0003,0.0000,0.0016,0.0007,0.3291
222772,1.0000,0.0007,0.0003,0.0000,0.0015,0.0005,0.3288
223105,1.0000,0.0008,0.0004,0.0000,0.0020,0.0015,0.3293
223438,1.0000,0.0007,0.0003,0.0000,0.0016,0.0015,0.3292
223772,1.0000,0.0007,0.0003,0.0000,0.0012,0.0007,0.3290
224105,1.0000,0.0007,0.0004,0.0000,0.0019,0.0006,0.3292
